Rank,Year,Name,Frequency
1,1980,Michael,3886
2,1980,Jason,2389
3,1980,Christopher,2273
4,1980,Matthew,2112
5,1980,David,2088
6,1980,James,1925
7,1980,Robert,1763
8,1980,Daniel,1724
9,1980,John,1722
10,1980,Joseph,1710
11,1980,Brian,1628
12,1980,Joshua,1593
13,1980,Ryan,1331
14,1980,Nicholas,1329
15,1980,Eric,1305
16,1980,Justin,1260
17,1980,Timothy,1231
18,1980,William,1192
19,1980,Anthony,1126
20,1980,Andrew,1094
21,1980,Adam,1087
22,1980,Thomas,1033
23,1980,Kevin,985
24,1980,Steven,960
25,1980,Jeremy,943
1,1981,Michael,3632
2,1981,Matthew,2329
3,1981,Christopher,2256
4,1981,Jason,2057
5,1981,David,2043
6,1981,Robert,1770
7,1981,James,1762
8,1981,Daniel,1739
9,1981,John,1702
10,1981,Joseph,1689
11,1981,Joshua,1683
12,1981,Brian,1564
13,1981,Ryan,1353
14,1981,Nicholas,1300
15,1981,Eric,1176
16,1981,William,1176
17,1981,Justin,1170
18,1981,Anthony,1164
19,1981,Andrew,1127
20,1981,Adam,1107
21,1981,Timothy,1097
22,1981,Kevin,1048
23,1981,Jonathan,974
24,1981,Brandon,952
25,1981,Thomas,940
1,1982,Michael,3664
2,1982,Christopher,2653
3,1982,Matthew,2399
4,1982,David,1983
5,1982,Jason,1941
6,1982,Daniel,1795
7,1982,James,1788
8,1982,Robert,1729
9,1982,John,1705
10,1982,Joseph,1664
11,1982,Joshua,1596
12,1982,Brian,1507
13,1982,Ryan,1360
14,1982,Justin,1271
15,1982,Andrew,1232
16,1982,Eric,1172
17,1982,Adam,1155
18,1982,Anthony,1134
19,1982,Nicholas,1131
20,1982,William,1124
21,1982,Timothy,1034
22,1982,Kevin,981
23,1982,Jonathan,974
24,1982,Steven,962
25,1982,Thomas,906
1,1983,Michael,3681
2,1983,Christopher,2561
3,1983,Matthew,2551
4,1983,David,1940
5,1983,Daniel,1839
6,1983,James,1710
7,1983,Joseph,1675
8,1983,Robert,1635
9,1983,Jason,1624
10,1983,John,1549
11,1983,Ryan,1537
12,1983,Joshua,1463
13,1983,Brian,1452
14,1983,Adam,1360
15,1983,Andrew,1311
16,1983,Anthony,1213
17,1983,Justin,1204
18,1983,Eric,1115
19,1983,Nicholas,1114
20,1983,Kevin,1051
21,1983,William,1033
22,1983,Timothy,971
23,1983,Steven,960
24,1983,Brandon,959
25,1983,Jonathan,949
1,1984,Michael,3669
2,1984,Matthew,2559
3,1984,Christopher,2542
4,1984,Daniel,2006
5,1984,David,1847
6,1984,James,1639
7,1984,Joshua,1634
8,1984,Ryan,1605
9,1984,Robert,1593
10,1984,Joseph,1569
11,1984,John,1503
12,1984,Jason,1477
13,1984,Brian,1412
14,1984,Andrew,1376
15,1984,Adam,1348
16,1984,Nicholas,1282
17,1984,Anthony,1201
18,1984,Eric,1149
19,1984,Justin,1123
20,1984,Brandon,1086
21,1984,William,1075
22,1984,Steven,998
23,1984,Jonathan,996
24,1984,Kevin,965
25,1984,Timothy,947
1,1985,Michael,3480
2,1985,Christopher,2467
3,1985,Matthew,2406
4,1985,Daniel,2060
5,1985,David,1932
6,1985,Ryan,1772
7,1985,Joshua,1642
8,1985,James,1617
9,1985,Robert,1580
10,1985,Joseph,1579
11,1985,Andrew,1510
12,1985,John,1392
13,1985,Nicholas,1337
14,1985,Jason,1312
15,1985,Brian,1310
16,1985,Brandon,1246
17,1985,Anthony,1243
18,1985,Adam,1157
19,1985,Eric,1100
20,1985,Steven,1061
21,1985,Kevin,1046
22,1985,Timothy,1030
23,1985,Justin,1003
24,1985,Jonathan,945
25,1985,William,919
1,1986,Michael,3337
2,1986,Matthew,2333
3,1986,Christopher,2188
4,1986,Daniel,1980
5,1986,David,1749
6,1986,Andrew,1651
7,1986,Ryan,1614
8,1986,James,1501
9,1986,Robert,1473
10,1986,Joshua,1431
11,1986,Joseph,1423
12,1986,John,1342
13,1986,Nicholas,1312
14,1986,Anthony,1232
15,1986,Brian,1180
16,1986,Kevin,1116
17,1986,Eric,1094
18,1986,Kyle,1075
19,1986,Jason,1049
20,1986,Brandon,992
21,1986,Jonathan,967
22,1986,Adam,967
23,1986,Timothy,953
24,1986,William,949
25,1986,Justin,944
1,1987,Michael,3467
2,1987,Matthew,2300
3,1987,Christopher,2202
4,1987,Daniel,2067
5,1987,Andrew,1785
6,1987,David,1707
7,1987,Ryan,1626
8,1987,James,1463
9,1987,Jospeh,1443
10,1987,Robert,1420
11,1987,Joshua,1414
12,1987,John,1412
13,1987,Nicholas,1284
14,1987,Anthony,1213
15,1987,Brian,1170
16,1987,Kevin,1159
17,1987,Kyle,1138
18,1987,Eric,1114
19,1987,Justin,1090
20,1987,Timothy,1042
21,1987,Brandon,1041
22,1987,William,983
23,1987,Jonathan,950
24,1987,Adam,925
25,1987,Steven,908
1,1988,Michael,3540
2,1988,Matthew,2365
3,1988,Christopher,2149
4,1988,Daniel,1938
5,1988,Andrew,1723
6,1988,David,1647
7,1988,Joseph,1535
8,1988,Joshua,1535
9,1988,Ryan,1499
10,1988,Nicholas,1466
11,1988,James,1422
12,1988,John,1350
13,1988,Robert,1320
14,1988,Anthony,1290
15,1988,Justin,1214
16,1988,Kevin,1188
17,1988,Eric,1168
18,1988,Kyle,1102
19,1988,Brian,1041
20,1988,Timothy,1004
21,1988,Brandon,994
22,1988,Jonathon,965
23,1988,Thomas,930
24,1988,William,916
25,1988,Adam,914
1,1989,Michael,3624
2,1989,Matthew,2273
3,1989,Christopher,2170
4,1989,Daniel,1903
5,1989,Andrew,1644
6,1989,David,1616
7,1989,Nicholas,1599
8,1989,Joshua,1595
9,1989,Joseph,1485
10,1989,Ryan,1444
11,1989,James,1429
12,1989,Robert,1391
13,1989,John,1363
14,1989,Anthony,1291
15,1989,Kevin,1223
16,1989,Kyle,1122
17,1989,Justin,1084
18,1989,Eric,1058
19,1989,Brandon,1019
20,1989,William,983
21,1989,Timothy,972
22,1989,Brian,968
23,1989,Thomas,964
24,1989,Adam,960
25,1989,Steven,953
1,1990,Michael,3502
2,1990,Matthew,2268
3,1990,Christopher,2079
4,1990,Daniel,1918
