Month,Day ,Year,Value
3,28,2019,-17.9272578146359
2,18,1854,-60.911867220503
10,23,1995,-141.651608727289
11,13,1927,-30.5381243454162
6,24,1923,-8.62117140124732
2,11,1810,-104.195229136318
1,9,1931,0.840201461087817
1,1,1845,-53.8417040679686
8,8,1887,62.8792253741252
6,1,2004,-158.798851831799
5,28,2003,160.140641036335
7,19,1836,170.320103638187
5,6,1920,9.54501432544242
4,10,1878,-42.7659060058537
1,28,1924,-138.303883526488
11,3,1868,-115.6823943404
11,20,1865,193.017219131079
12,2,1966,-56.4388478157592
4,6,1918,-159.838948109062
7,14,2002,142.828282826297
10,27,1996,35.8842097000808
9,24,1974,-123.889100319313
6,6,2018,73.2204634526869
10,23,1935,47.9439535610366
3,17,1903,87.8084297989027
2,18,1820,-53.4122098294569
10,18,1837,-139.300594360195
6,11,1931,78.9975458275339
10,16,1945,51.9740846856155
2,13,1857,-89.964084459356
4,1,1951,81.5034581356788
4,6,1913,125.145320135892
6,27,1836,-57.8624298211213
8,20,1907,-61.6952419725623
4,27,1897,-27.5731389312857
9,16,1982,135.313290024247
12,5,1900,82.6357996884383
2,13,2003,-73.2847260487868
10,15,1906,-204.207959222673
7,7,2016,-39.6621168117986
10,14,1959,-105.630468226204
11,18,1940,200.016620825335
5,19,1942,-125.234187205651
2,28,1981,47.0118527366364
11,10,1839,-24.4804984572674
4,25,1865,109.026568806233
6,13,1929,29.8597920874948
6,13,1999,-6.42247862134056
12,27,1943,-37.2140269611594
11,18,1810,163.06200005502
6,18,1975,-156.458505919755
3,6,1933,-69.3591121827036
1,9,2011,25.7999125344076
11,12,1968,141.429771308194
12,8,1845,-114.255355775898
6,23,1806,102.343349320835
3,27,1844,87.1162486659187
6,10,2012,79.1346687351799
9,8,2020,81.9168400732732
12,22,1811,-65.2847135703684
5,1,1921,-46.0736429202682
11,25,1828,30.2937943464314
1,28,1829,102.505253395861
2,13,1813,42.0289672506969
5,2,1993,-39.2192318727712
4,7,1927,127.648592487102
10,10,1830,-34.5619678058712
12,22,2014,92.5213613270319
8,21,1831,-14.5558414977141
8,6,1922,-88.0600930548783
6,16,2005,-53.5752253746739
1,16,1857,-195.382137875798
10,4,1891,-165.087998799393
3,16,1952,-111.926059883688
2,6,1884,-30.0650541117885
9,11,2016,-34.8267246840135
6,4,1924,-50.821927104128
9,19,1992,4.68095386138917
12,7,1982,112.831443608396
5,1,1993,78.6193236539474
7,27,1846,39.2720305277344
4,24,1935,45.0170052154933
2,19,1815,-150.434887909306
12,9,1817,-260.996827177677
5,18,1838,78.1206226610465
