The year with highest Ace value is: 2005
The ACE value was: 248
| ACEval | Year   | num1   | num2   | num3  |
| 17     | 1983   | 4      | 3      |1      |

| 25     | 1977   | 6      | 5      |1      |

| 28     | 1972   | 4      | 3      |0      |

| 29     | 1982   | 5      | 2      |1      |

| 32     | 1994   | 7      | 3      |0      |

| 34     | 1991   | 8      | 4      |2      |

| 34     | 1987   | 7      | 3      |1      |

| 34     | 1970   | 10     | 5      |2      |

| 35     | 1968   | 7      | 4      |0      |

| 36     | 2013   | 14     | 2      |0      |

| 36     | 1986   | 6      | 4      |0      |

| 36     | 1962   | 5      | 3      |1      |

| 39     | 1993   | 8      | 4      |1      |

| 40     | 1997   | 7      | 3      |1      |

| 43     | 1973   | 7      | 4      |1      |

| 51     | 2009   | 9      | 3      |2      |

| 54     | 1956   | 8      | 4      |2      |

| 61     | 1974   | 7      | 4      |2      |

| 62     | 2010   | 19     | 12     |5      |

| 62     | 1978   | 11     | 5      |2      |

| 63     | 2015   | 11     | 4      |2      |

| 65     | 2002   | 12     | 4      |2      |

| 67     | 2014   | 8      | 6      |2      |

| 71     | 1984   | 12     | 5      |1      |

| 72     | 2007   | 15     | 6      |2      |

| 73     | 1975   | 8      | 6      |3      |

| 75     | 1992   | 6      | 4      |1      |

| 77     | 1959   | 11     | 7      |5      |

| 79     | 2006   | 10     | 5      |2      |

| 81     | 1976   | 8      | 6      |2      |

| 84     | 1965   | 6      | 4      |1      |

| 84     | 1957   | 8      | 3      |2      |

| 87     | 1952   | 7      | 6      |3      |

| 88     | 1985   | 11     | 7      |3      |

| 88     | 1960   | 7      | 4      |2      |

| 91     | 1990   | 14     | 8      |1      |

| 91     | 1979   | 8      | 5      |2      |

| 93     | 1981   | 11     | 7      |3      |

| 97     | 1971   | 13     | 6      |1      |

| 103    | 1988   | 12     | 5      |3      |

| 104    | 1953   | 14     | 6      |4      |

| 106    | 2001   | 15     | 9      |4      |

| 112    | 2016   | 14     | 6      |2      |

| 113    | 1954   | 11     | 8      |2      |

| 116    | 2000   | 14     | 8      |3      |

| 118    | 1963   | 9      | 7      |2      |

| 121    | 1958   | 10     | 7      |5      |

| 122    | 1967   | 8      | 6      |1      |

| 126    | 2011   | 19     | 7      |4      |

| 133    | 2012   | 19     | 10     |2      |

| 135    | 1989   | 11     | 7      |2      |

| 137    | 1951   | 10     | 8      |5      |

| 145    | 2008   | 16     | 8      |5      |

| 145    | 1966   | 11     | 7      |3      |

| 147    | 1980   | 11     | 9      |2      |

| 158    | 1969   | 17     | 12     |5      |

| 166    | 1996   | 13     | 9      |6      |

| 170    | 1964   | 12     | 6      |6      |

| 175    | 2003   | 16     | 7      |3      |

| 177    | 1999   | 12     | 8      |5      |

| 182    | 1998   | 14     | 10     |3      |

| 199    | 1955   | 12     | 9      |6      |

| 205    | 1961   | 11     | 8      |7      |

| 225    | 2004   | 14     | 9      |6      |

| 228    | 1995   | 19     | 11     |5      |

| 243    | 1950   | 13     | 11     |8      |

| 248    | 2005   | 28     | 15     |7      |

